FILE,RECUT_BEGIN,RECUT_END,MOD_GESTURE,MOD_VOCAL,LANGUAGE,COMMENT,NOTES,WATCHED
6_1_trial_2_p0_vlieg_gebaren_final.avi,,,,,,,,1
6_1_trial_3_p0_scherp_gebaren_final.avi,,,,,,,,0
6_1_trial_4_p0_sterk_gebaren_final.avi,,,,,,,,0
6_1_trial_5_p0_blazen_gebaren_final.avi,,,,,,,,0
6_1_trial_6_p0_kauwen_gebaren_final.avi,,,,,,,,0
6_1_trial_7_p0_slaan_gebaren_final.avi,,,,,,,,0
6_1_trial_8_p0_likken_gebaren_final.avi,,,,,,,,0
6_1_trial_11_p1_ei_gebaren_final.avi,,,,,,,,0
6_1_trial_12_p1_langzaam_gebaren_final.avi,,,,,,,,0
6_1_trial_13_p1_piepen_gebaren_final.avi,,,,,,,,0
6_1_trial_14_p1_grommen_gebaren_final.avi,,,,,,,,0
6_1_trial_15_p1_horen_gebaren_final.avi,,,,,,,,0
6_1_trial_16_p1_weten_gebaren_final.avi,,,,,,,,0
6_1_trial_17_p1_rennen_gebaren_final.avi,,,,,,,,0
6_1_trial_20_p0_groot_combinatie_final.avi,,,,,,,,0
6_1_trial_21_p0_vrouw_combinatie_final.avi,,,,,,,,0
6_1_trial_22_p0_vis_combinatie_final.avi,,,,,,,,0
6_1_trial_23_p0_slang_combinatie_final.avi,,,,,,,,0
6_1_trial_24_p0_ademen_combinatie_final.avi,,,,,,,,0
6_1_trial_25_p0_jagen_combinatie_final.avi,,,,,,,,0
6_1_trial_26_p0_fluisteren_combinatie_final.avi,,,,,,,,0
6_1_trial_29_p1_boos_combinatie_final.avi,,,,,,,,0
6_1_trial_30_p1_kat_combinatie_final.avi,,,,,,,,0
6_1_trial_31_p1_hond_combinatie_final.avi,,,,,,,,0
6_1_trial_32_p1_berg_combinatie_final.avi,,,,,,,,0
6_1_trial_33_p1_oud_combinatie_final.avi,,,,,,,,0
6_1_trial_34_p1_ziek_combinatie_final.avi,,,,,,,,0
6_1_trial_35_p1_kotsen_combinatie_final.avi,,,,,,,,0
6_1_trial_38_p0_ik_geluiden_final.avi,,,,,,,,0
6_1_trial_39_p0_goed_geluiden_final.avi,,,,,,,,0
6_1_trial_40_p0_heet_geluiden_final.avi,,,,,,,,0
6_1_trial_41_p0_niet_geluiden_final.avi,,,,,,,,0
6_1_trial_42_p0_bijten_geluiden_final.avi,,,,,,,,0
6_1_trial_43_p0_vallen_geluiden_final.avi,,,,,,,,0
6_1_trial_47_p1_ver_geluiden_final.avi,,,,,,,,0
6_1_trial_48_p1_snel_geluiden_final.avi,,,,,,,,0
6_1_trial_49_p1_regen_geluiden_final.avi,,,,,,,,0
6_1_trial_50_p1_stil_geluiden_final.avi,,,,,,,,0
6_1_trial_51_p1_kruipen_geluiden_final.avi,,,,,,,,0
6_1_trial_52_p1_drinken_geluiden_final.avi,,,,,,,,0
6_1_trial_53_p1_slapen_geluiden_final.avi,,,,,,,,0
6_2_trial_4_p0_hoog_geluiden_c0_final.avi,,,,,,,,0
6_2_trial_5_p0_hoog_geluiden_c1_final.avi,,,,,,,,0
6_2_trial_6_p0_hoog_geluiden_c2_final.avi,,,,,,,,0
